MIU,FORC,TATM,TOCEAN,MAT,MU,ML,E,EIND,C,K,CPC,I,S,RI,Y,YGROSS,YNET,DAMAGES,DAMFRAC,ABATECOST,MCABATE,CCA,PERIODU,CPRICE,CEMUTOTPER
1.2000,1.8313,2.1402,1.7377, 722.7708,2181.0384,10077.4522,-29.7074,-29.7078,1279.9746,4683.2202,122.0458,422.3219,0.2481,0.0260,1702.2965,1734.2747,1713.0646,21.2101,0.0122,10.7681,169.1508, 681.3597,0.9665,169.1508, 478.9823
1.2000,1.6734,2.0259,1.7478, 702.2463,2158.9940,10079.5037,-29.5566,-29.5569,1328.6143,4877.0043,126.6637,438.4371,0.2481,0.0256,1767.0514,1797.1913,1777.4969,19.6944,0.0110,10.4455,164.9220, 640.8418,0.9707,164.9220, 446.6408
1.2000,1.5202,1.9123,1.7547, 682.8887,2136.0442,10081.4993,-29.3797,-29.3799,1377.4858,5072.0076,131.3049,454.5414,0.2481,0.0253,1832.0272,1860.3150,1842.1506,18.1644,0.0098,10.1234,160.7989, 600.5296,0.9747,160.7989, 416.3816
1.2000,1.3713,1.7998,1.7587, 664.5961,2112.3286,10083.4369,-29.1778,-29.1780,1426.5555,5267.6767,135.9663,470.5524,0.2480,0.0250,1897.1080,1923.5467,1906.9105,16.6363,0.0086, 9.8025,156.7790, 560.4588,0.9786,156.7790, 388.0849
1.2000,1.2266,1.6885,1.7597, 647.2797,2087.9722,10085.3146,-28.9516,-28.9518,1475.8227,5463.2726,140.6476,486.3385,0.2479,0.0247,1962.1612,1986.7687,1971.6445,15.1241,0.0076, 9.4833,152.8595, 520.6634,0.9823,152.8595, 361.6367
1.2000,1.0857,1.5787,1.7579, 630.8621,2063.0870,10087.1307,-28.7016,-28.7017,1525.3425,5657.7004,145.3540,501.6770,0.2475,0.0245,2027.0194,2049.8263,2036.1858,13.6405,0.0067, 9.1664,149.0380, 481.1765,0.9858,149.0380, 336.9286
1.2000,0.9486,1.4705,1.7535, 615.2764,2037.7737,10088.8840,-28.4272,-28.4273,1575.2693,5849.2003,150.1001,516.1780,0.2468,0.0243,2091.4473,2112.4954,2100.2991,12.1963,0.0058, 8.8518,145.3120, 442.0307,0.9892,145.3120, 313.8583
1.2000,0.8150,1.3640,1.7464, 600.4663,2012.1230,10090.5735,-28.1266,-28.1267,1625.9366,6034.7842,154.9177,529.1450,0.2455,0.0243,2155.0815,2174.4217,2163.6207,10.8010,0.0050, 8.5392,141.6792, 403.2592,0.9925,141.6792, 292.3304
1.2000,0.6849,1.2592,1.7368, 586.3863,1986.2169,10092.1982,-27.7954,-27.7955,1678.0036,6209.2045,159.8694,539.3158,0.2432,0.0169,2217.3194,2235.0096,2225.5471, 9.4625,0.0042, 8.2277,138.1373, 364.8977,0.9957,138.1373, 272.2575
1.2000,0.5584,1.1564,1.7249, 573.0041,1960.1299,10093.7576,-27.4249,-27.4249,1688.9831,6363.0522,160.9074,588.1280,0.2583,0.0251,2277.1111,2293.2136,2285.0261, 8.1875,0.0036, 7.9151,134.6838, 326.9879,0.9964,134.6838, 252.9056
1.2000,0.4355,1.0555,1.7107, 560.3050,1933.9310,10095.2513,-27.2681,-27.2682,1747.4295,6697.9588,166.4683,608.4799,0.2583,0.0242,2355.9094,2370.6337,2363.5825, 7.0511,0.0030, 7.6731,131.3167, 289.5835,0.9998,131.3167, 235.5799
1.2000,0.3131,0.9563,1.6943, 547.9330,1907.6847,10096.6790,-27.0418,-27.0418,1802.7052,6997.4773,171.7277,627.7277,0.2583,0.0236,2430.4329,2443.8187,2437.8520, 5.9667,0.0024, 7.4191,128.0338, 252.3929,1.0029,128.0338, 219.3639
1.1833,0.1919,0.8586,1.6758, 535.9525,1881.4218,10098.0406,-24.5281,-24.5282,1855.7920,7270.5789,176.7791,646.2133,0.2583,0.0232,2502.0053,2513.8375,2508.8891, 4.9484,0.0020, 6.8838,121.7210, 215.5110,1.0057,121.7210, 204.2106
1.0574,0.1042,0.7656,1.6554, 527.4479,1855.1774,10099.3360, -7.5940, -7.5940,1908.1485,7524.2706,181.7614,664.4446,0.2583,0.0227,2572.5931,2581.4746,2577.4343, 4.0404,0.0016, 4.8412, 96.9290, 182.0574,1.0084, 96.9290, 190.0731
0.9101,0.2512,0.6996,1.6332, 541.7820,1829.2565,10100.5655, 11.7424, 11.7423,1958.8253,7765.2294,186.5841,682.0910,0.2583,0.0223,2640.9163,2647.4368,2643.9771, 3.4597,0.0013, 3.0608, 72.1333, 171.7000,1.0109, 72.1333, 176.8799
0.7411,0.6271,0.6793,1.6098, 580.2338,1805.6557,10101.7297, 33.3346, 33.3346,2007.8122,7995.7451,191.2462,699.1489,0.2583,0.0219,2706.9611,2711.9581,2708.6171, 3.3411,0.0012, 1.6560, 48.5948, 187.7152,1.0133, 48.5948, 164.5731
0.5486,1.1974,0.7174,1.5866, 643.8465,1786.4027,10102.8345, 57.2638, 57.2638,2055.0649,8217.1519,195.7435,715.6029,0.2583,0.0214,2770.6678,2775.1670,2771.3533, 3.8137,0.0014, 0.6855, 27.5760, 233.1797,1.0154, 27.5760, 153.0972
0.3276,1.9141,0.8204,1.5648, 733.7600,1773.5341,10103.8908, 83.9976, 83.9976,2100.4608,8430.1608,200.0643,731.4105,0.2583,0.0210,2831.8713,2837.1246,2832.0266, 5.0981,0.0018, 0.1553, 10.6256, 311.2809,1.0175, 10.6256, 142.3993
0.0   ,2.7314,0.9891,1.5462, 851.7297,1769.1036,10104.9145,122.9033,122.9033,2143.7761,8634.9779,204.1872,746.4935,0.2583,0.0,      2890.2695,2897.8393,2890.2695, 7.5698,0.0026, 0.0   ,  0.0   , 425.8438,1.0193,  0.0   , 132.4285
